Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2010,"Matt Camp","CHC","AAA",26,130,495,0.26376147,0.08686869,0.08282828,0.05963303,0.28463476,-19.912988586765106,0.2991613738254301,70.10665782220326,0.17357513,0.55440415,0.27202073,0.42537313,0.2761194,0.29850746,0.04488778,1604,"sa327674"
2011,"Matt Camp","CHC","AAA",27,58,205,0.20855615,0.06341463,0.12682927,0.05347594,0.24074074,-21.687125024645763,0.23973955810070038,24.97389734906147,0.1572327,0.58490566,0.25786164,0.38181818,0.2,0.41818182,0.05571429,700,"sa327674"
2010,"Kurt Mertins","KCR","AAA",24,70,279,0.23320158,0.05734767,0.17921147,0.11857708,0.27638191,-13.799011401144037,0.2885743449459146,63.2474905718097,0.22727273,0.44949495,0.32323232,0.46889952,0.24880383,0.28229665,0.08943089,984,"sa327723"
2011,"Kurt Mertins","KCR","AAA",25,20,68,0.27419355,0.02941176,0.25,0.03225806,0.36956522,-5.209259142506704,0.27201245197883017,45.67104961166353,0.17391304,0.43478261,0.39130435,0.51020408,0.2244898,0.26530612,0.12616822,214,"sa327723"
2012,"Kurt Mertins","KCR","AAA",26,28,61,0.25862069,0.03278689,0.14754098,0.12068965,0.27083333,-2.888728505057646,0.287742907883691,64.19645492096022,0.12244898,0.46938776,0.40816327,0.48,0.24,0.28,0.10091743,218,"sa327723"
2010,"Brad Boyer","SFG","AAA",26,46,122,0.21,0.13114754,0.1557377,0.06,0.25301205,-6.1907998830586335,0.2871000056465467,62.292289641191736,0.1875,0.5125,0.3,0.41176471,0.17647059,0.41176471,0.06073753,461,"sa327733"
2007,"Michael Epping","SDP","AAA",23,25,90,0.17333333,0.13333333,0.15555556,0.04,0.2,-7.584123614097448,0.24766927614979362,36.55023996554181,0.0862069,0.46551724,0.44827586,0.47619048,0.20634921,0.31746032,0.0764526,327,"sa327743"
2012,"Will Savage","LAD","AAA",27,19,39,0.11764706,0,0.38461538,0.11764706,0.16666667,-6.542448737530401,0.14821885964449713,-26.83083739111783,0.22222222,0.27777778,0.5,0.5,0.09090909,0.40909091,0.10948905,137,"sa327775"
2009,"Adam Calderone","TOR","AAA",25,10,37,0.21212121,0.05405405,0.21621622,0.03030303,0.25925926,-3.6231645096659504,0.2213317735775097,22.683165495493586,0.11111111,0.40740741,0.48148148,0.44444444,0.33333333,0.22222222,0.15441176,136,"sa327816"
2010,"Adam Calderone","TOR","AAA",26,64,255,0.22707424,0.07058824,0.26666667,0.22270742,0.27272727,-6.536495307017384,0.31590110158163404,80.95206059880478,0.22222222,0.32716049,0.45061728,0.56363636,0.22424242,0.21212121,0.14347357,927,"sa327816"
