Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2015,"Barrett Barnes","PIT","AA",23,37,146,0.24603175,0.10958904,0.17123288,0.11904762,0.28282828,1.1640202070629488,0.3285442220753637,107.28592486681822,0.14141414,0.45454545,0.4040404,0.46078431,0.2745098,0.26470588,0.07504363,573,"sa577859"
2016,"Barrett Barnes","PIT","AA",24,124,458,0.30617284,0.08951965,0.22925764,0.17037037,0.39249147,20.124667597172948,0.38338987058887947,137.91265056278397,0.20415225,0.41176471,0.38408304,0.46381579,0.25328947,0.28289474,0.08749266,1703,"sa577859"
2019,"Barrett Barnes","NYM","AA",27,96,374,0.22829582,0.12566845,0.25668449,0.17041801,0.28640777,9.866987296667203,0.3450674689487222,124.38309782946861,0.15492958,0.31924883,0.5258216,0.52054795,0.22374429,0.25570776,0.09270217,1521,"sa577859"
2015,"Charley Thurber","COL","AA",25,18,45,0.24390244,0.06666667,0.28888889,0.04878049,0.35714286,-1.4094690729282817,0.2759261889891191,71.37667632015228,0.25925926,0.51851852,0.22222222,0.51724138,0.24137931,0.24137931,0.14942529,174,"sa577878"
2015,"Zach Osborne","COL","AA",25,41,145,0.2578125,0.05517241,0.07586207,0.0546875,0.28205128,-3.1119089843737497,0.2891296065636795,80.38736667745209,0.20535714,0.38392857,0.41071429,0.41803279,0.22131148,0.36065574,0.04580153,393,"sa577885"
2016,"Zach Osborne","COL","AA",26,64,226,0.23786408,0.04867257,0.09292035,0.03398058,0.2606383,-13.174925906306592,0.25243374542756514,49.70084923739058,0.16216216,0.43783784,0.4,0.40104167,0.265625,0.33333333,0.04918033,671,"sa577885"
2015,"Craig Manuel","WSN","AA",25,3,10,0.11111111,0,0.2,0,0.14285714,-1.1297075416990636,0.16659165620803834,-3.2388249079958604,0,0.57142857,0.42857143,0.57142857,0,0.42857143,0.03333333,30,"sa577995"
2015,"Jordan Ribera","COL","AA",26,7,23,0.23809524,0.04347826,0.08695652,0.04761905,0.26315789,-0.6354326890463493,0.28087277256924176,74.75247904056826,0.10526316,0.42105263,0.47368421,0.42105263,0.21052632,0.36842105,0.04938272,81,"sa578145"
2017,"Sharif Othman","NYY","AA",28,15,52,0.2745098,0.01923077,0.23076923,0.15686275,0.32432432,-0.3717371965040303,0.3188601010120832,93.8761446873146,0.23684211,0.42105263,0.34210526,0.46153846,0.20512821,0.33333333,0.17741935,186,"sa578858"
2015,"Isaac Ballou","WSN","AA",25,49,184,0.30379747,0.10326087,0.17391304,0.18987342,0.34677419,10.536429204900092,0.3945479093353605,152.3302313868055,0.19685039,0.43307087,0.37007874,0.36923077,0.30769231,0.32307692,0.09292035,678,"sa579269"
2016,"Isaac Ballou","WSN","AA",26,108,428,0.25469169,0.09813084,0.17990654,0.13136729,0.30067568,0.06316946745330193,0.327295141360339,100.12734572107122,0.23367698,0.40206186,0.36426117,0.4025974,0.26298701,0.33441558,0.0889029,1586,"sa579269"
2017,"Isaac Ballou","WSN","AA",27,49,142,0.19354839,0.1056338,0.30985915,0.11290322,0.27848101,-6.067664541681825,0.27404129547430267,63.39625987542645,0.16049383,0.41975309,0.41975309,0.43902439,0.23170732,0.32926829,0.13861386,606,"sa579269"
2015,"Mitch Delfino","SFG","AA",24,124,494,0.25617978,0.08299595,0.14574899,0.06292134,0.29521277,-7.829348606867377,0.2966452491210876,85.51642720579822,0.18449198,0.49197861,0.32352941,0.39107612,0.2152231,0.39370079,0.0585162,1914,"sa579278"
2015,"Joe Sever","CLE","AA",24,30,114,0.21904762,0.06140351,0.21929825,0.08571428,0.26582278,-4.536720655631502,0.26457850806481015,63.632435974425746,0.2,0.5625,0.2375,0.42682927,0.29268293,0.2804878,0.10722611,429,"sa579296"
2016,"Joe Sever","CLE","AA",25,114,456,0.25059666,0.05263158,0.24342105,0.08114558,0.33006536,-12.460336277778147,0.29210472542100246,76.42314726853697,0.23934426,0.47213115,0.28852459,0.43312102,0.19426752,0.37261146,0.13282621,1709,"sa579296"
2017,"Joe Sever","CLE","AA",26,118,481,0.28181818,0.06652807,0.17047817,0.10454546,0.32865169,-1.0131463973235995,0.32521167787841354,98.19565585983818,0.19827586,0.53735632,0.26436782,0.30640669,0.24233983,0.45125348,0.08224617,1763,"sa579296"
2018,"Joe Sever","CLE","AA",27,107,473,0.26179245,0.07610994,0.15221987,0.11320755,0.29461756,-3.890406203637707,0.3146047847792348,93.09161492579923,0.19830028,0.46175637,0.33994334,0.40495868,0.26170799,0.33333333,0.08309619,1757,"sa579296"
2014,"Jordan Smith","CLE","AA",23,126,497,0.24836601,0.06639839,0.16498994,0.08278867,0.2962963,-14.645842196623693,0.28831783153357043,74.8231036314255,0.19241192,0.47154472,0.33604336,0.40526316,0.26315789,0.33157895,0.06418219,1932,"sa579297"
2015,"Jordan Smith","CLE","AA",24,126,536,0.25684211,0.09701493,0.17537313,0.10315789,0.30870712,1.7610937739853958,0.3222678129592638,103.00258089306735,0.208,0.46666667,0.32533333,0.38082902,0.24352332,0.37564767,0.05729167,2112,"sa579297"
2016,"Jordan Smith","CLE","AA",25,97,392,0.27142857,0.09693878,0.19132653,0.15142857,0.32592593,5.912020632408626,0.34642443305406817,113.01280087869844,0.22058824,0.44485294,0.33455882,0.4368231,0.20577617,0.35740072,0.08215488,1485,"sa579297"
