Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2017,"Hunter Jones","CHW","AA",25,121,464,0.22195122,0.07758621,0.18534483,0.12926829,0.26332288,-4.65509495247334,0.3051554738179497,90.59867903089943,0.19122257,0.44827586,0.36050157,0.46808511,0.22492401,0.30699088,0.13496933,1630,"sa548556"
2012,"Barrett Kleinknecht","ATL","AA",23,49,149,0.21875,0.09395973,0.15436242,0.0859375,0.25925926,-5.016183006079106,0.28708152949404553,70.19681197225344,0.17924528,0.38679245,0.43396226,0.52293578,0.22018349,0.25688073,0.08705357,448,"sa549102"
2013,"Barrett Kleinknecht","ATL","AA",24,93,268,0.23829787,0.06716418,0.16044776,0.14042553,0.25396825,-1.5316027534207768,0.31013881886142425,94.64148553612826,0.1865285,0.38860104,0.42487047,0.55665025,0.22660099,0.21674877,0.10537634,930,"sa549102"
2014,"Barrett Kleinknecht","ATL","AA",25,100,319,0.27986348,0.04702194,0.15987461,0.1774744,0.30672269,4.802280628371857,0.345756985152824,113.15465117654885,0.14225941,0.35564854,0.50209205,0.51587302,0.27777778,0.20634921,0.08435852,1138,"sa549102"
2015,"Barrett Kleinknecht","ATL","AA",26,10,37,0.25714286,0.02702703,0.18918919,0.08571428,0.32142857,-0.78385262960661,0.3009918460974822,80.98912309050836,0.10714286,0.46428571,0.42857143,0.51724138,0.06896552,0.4137931,0.07874016,127,"sa549102"
2013,"Mike Blanke","CHW","AA",24,94,374,0.22590361,0.09625668,0.20053476,0.11445784,0.26984127,-5.170465387304279,0.2990950785355193,87.03743056045568,0.19367589,0.46245059,0.34387352,0.45419847,0.26717557,0.27862595,0.08425414,1448,"sa549125"
2013,"Mike Walker","MIL","AA",25,119,422,0.22282609,0.11611374,0.25592417,0.14402174,0.28,0.720502920150416,0.32024627428439906,101.60087107330699,0.14901961,0.56470588,0.28627451,0.47908745,0.21673004,0.30418251,0.12020906,1722,"sa549126"
2019,"Drew Maggi","MIN","AA",30,11,44,0.25641026,0.09090909,0.20454545,0.17948718,0.31034483,1.326455488722433,0.35684540190479974,127.2985286770068,0.13333333,0.46666667,0.4,0.6,0.2,0.2,0.1030303,165,"sa549144"
2016,"Sean O'Connell","CHW","AA",24,21,78,0.22222222,0.01282051,0.30769231,0.06944445,0.33333333,-3.3529479896043144,0.2618611360851087,60.647662439562154,0.16666667,0.52083333,0.3125,0.54,0.18,0.28,0.16504854,309,"sa549180"
2017,"Ronald Bueno","CHW","AA",24,17,67,0.2037037,0.1641791,0.10447761,0.0925926,0.2173913,-0.48025965240190505,0.3090327629676232,93.28293398987834,0.14893617,0.53191489,0.31914894,0.52083333,0.1875,0.29166667,0.04642857,280,"sa549192"
2016,"Ronald Bueno","CIN","AA",23,24,39,0.24242424,0.12820513,0.30769231,0,0.36363636,-1.06491608906637,0.2831358313560486,75.00293023308926,0.13636364,0.77272727,0.09090909,0.59090909,0.18181818,0.22727273,0.06508876,169,"sa549192"
2013,"Ryan Fisher","MIA","AA",25,50,168,0.22068966,0.0952381,0.26785714,0.16551724,0.28421053,1.3097026921013433,0.32853741067828557,107.30964863320916,0.18947368,0.42105263,0.38947368,0.45098039,0.24509804,0.30392157,0.14418605,645,"sa549201"
2014,"Ryan Fisher","MIA","AA",26,36,128,0.20720721,0.078125,0.2578125,0.15315315,0.24324324,-1.8173667946002279,0.30778436069413434,87.59333363922973,0.18987342,0.43037975,0.37974684,0.49367089,0.21518987,0.29113924,0.18558952,458,"sa549201"
2012,"Derek Eitel","ARI","AA",24,19,34,0.10714286,0.05882353,0.17647059,0,0.13636364,-4.895222049913427,0.14191744724909464,-27.458586533740263,0.09090909,0.81818182,0.09090909,0.25,0.29166667,0.45833333,0.12820513,117,"sa549271"
